postalCode,pizza,Papa John's Pizza,Population (Personssort column),Households (Householdssort column),Housing Units (Housing unitssort column),Families (Familiessort column),Male Population (Personssort column),Female Population (Personssort column),Hispanic/Latino Population (Personssort column),White Population (Personssort column),Black/African American Population (Personssort column),American Indian/Alaskan Native Population (Personssort column),Asian Population (Personssort column),Native Hawaiian/Pacific Islander Population (Personssort column),Population Age 5+: Speak Only English at Home (Personssort column),Population Age 5+: Speak Spanish at Home (Personssort column),Population Age 5+: Speak Asian/Pacific Islander Language at Home (Personssort column),Population Age 5+: Speak Indo-European Language at Home (Personssort column),Population Age 5+: Speak Other Language at Home (Personssort column),Population Age 15+: Never Married (Personssort column),"Population Age 15+: Married, Spouse Present (Personssort column)","Population Age 15+: Married, Spouse Absent (Personssort column)",Population Age 15+: Divorced (Personssort column),Population Age 15+: Widowed (Personssort column),Households: 1-Person Household (Householdssort column),Households: 2-Person Household (Householdssort column),Households: 3-Person Household (Householdssort column),Households: 4-Person Household (Householdssort column),Households: 5-Person Household (Householdssort column),Households: 6-Person Household (Householdssort column),Households: 7+ Person Household (Householdssort column),"Household Income: < $15,000 (Householdssort column)","Household Income: $15,000 - $24,999 (Householdssort column)","Household Income: $25,000 - $34,999 (Householdssort column)","Household Income: $35,000 - $49,999 (Householdssort column)","Household Income: $50,000 - $74,999 (Householdssort column)","Household Income: $75,000 - $99,999 (Householdssort column)","Household Income: $100,000 - $124,999 (Householdssort column)","Household Income: $125,000 - $149,999 (Householdssort column)","Household Income: $150,000 - $199,999 (Householdssort column)","Household Income: $200,000 - $249,999 (Householdssort column)","Household Income: $250,000 - $499,999 (Householdssort column)","Household Income: $500,000+ (Householdssort column)",Population Age 25+: Bachelor's Degree (Personssort column),Population Age 25+: Master's Degree (Personssort column),Population Age 25+: Doctorate Degree (Personssort column),Employed Civilian 16+ by Occupation: Architect/Engineer (Personssort column),Employed Civilian 16+ by Occupation: Arts/Entertain/Sports (Personssort column),Employed Civilian 16+ by Occupation: Building Grounds Maint (Personssort column),Employed Civilian 16+ by Occupation: Business/Financial Ops (Personssort column),Employed Civilian 16+ by Occupation: Community/Soc Svcs (Personssort column),Employed Civilian 16+ by Occupation: Computer/Mathematical (Personssort column),Employed Civilian 16+ by Occupation: Construction/Extraction (Personssort column),Employed Civilian 16+ by Occupation: Edu/Training/Library (Personssort column),Employed Civilian 16+ by Occupation: Farm/Fish/Forestry (Personssort column),Employed Civilian 16+ by Occupation: Food Prep/Serving (Personssort column),Employed Civilian 16+ by Occupation: Health Practitioner/Tec (Personssort column),Employed Civilian 16+ by Occupation: Healthcare Support (Personssort column),Employed Civilian 16+ by Occupation: Maintenance Repair (Personssort column),Employed Civilian 16+ by Occupation: Legal (Personssort column),Employed Civilian 16+ by Occupation: Life/Phys/Soc Science (Personssort column),Employed Civilian 16+ by Occupation: Management (Personssort column),Employed Civilian 16+ by Occupation: Office/Admin Support (Personssort column),Employed Civilian 16+ by Occupation: Production (Personssort column),Employed Civilian 16+ by Occupation: Protective Svcs (Personssort column),Employed Civilian 16+ by Occupation: Sales/Related (Personssort column),Employed Civilian 16+ by Occupation: Personal Care/Svc (Personssort column),Employed Civilian 16+ by Occupation: Transportation/Moving (Personssort column),Employed Civilian 16+ by Occupation Group: White Collar (Personssort column),Employed Civilian 16+ by Occupation Group: Blue Collar (Personssort column),Employed Civilian 16+ by Occupation Group: Service and Farm (Personssort column),Population: Age 0-17 (Personssort column),Population: Age 18-24 (Personssort column),Population: Age 25-44 (Personssort column),Population: Age 45-64 (Personssort column),Population: Age 65 + (Personssort column),Male Population: Age 0-17 (Personssort column),Male Population: Age 18-24 (Personssort column),Male Population: Age 25-44 (Personssort column),Male Population: Age 45-64 (Personssort column),Male Population: Age 65 + (Personssort column),Female Population: Age 0-17 (Personssort column),Female Population: Age 18-24 (Personssort column),Female Population: Age 25-44 (Personssort column),Female Population: Age 45-64 (Personssort column),Female Population: Age 65 + (Personssort column),Population Age 25+: High School Graduate or less (Personssort column),Population Age 25+: Associate or less (Personssort column)
33125,1,1,56478.0,19953.0,21898.0,12889.0,28693.0,27785.0,52946.0,48550.0,3349.0,228.0,372.0,9.0,5128.0,47653.0,207.0,545.0,32.0,19251.0,14409.0,4607.0,5612.0,3448.0,5617.0,5026.0,3662.0,2669.0,1470.0,786.0,723.0,4787.0,3117.0,2599.0,2714.0,3145.0,1644.0,971.0,473.0,272.0,126.0,76.0,29.0,4663.0,1151.0,140.0,143.0,462.0,3221.0,583.0,407.0,233.0,3175.0,571.0,113.0,2297.0,871.0,742.0,936.0,166.0,19.0,1499.0,2497.0,1071.0,407.0,2394.0,587.0,2576.0,9845.0,7758.0,7367.0,10945.0,3783.0,14558.0,15558.0,11634.0,5642.0,2062.0,7813.0,8178.0,4998.0,5303.0,1721.0,6745.0,7380.0,6636.0,42818.0,7099.0
33127,1,1,30064.0,9986.0,11360.0,6679.0,14978.0,15086.0,15493.0,12144.0,14686.0,200.0,103.0,5.0,10919.0,13183.0,20.0,3653.0,100.0,11601.0,5543.0,2291.0,3100.0,1237.0,2610.0,2386.0,1785.0,1366.0,861.0,526.0,452.0,2344.0,1379.0,1152.0,1423.0,1743.0,785.0,489.0,278.0,219.0,96.0,62.0,16.0,2366.0,784.0,30.0,90.0,234.0,1127.0,336.0,181.0,161.0,1352.0,406.0,64.0,1197.0,424.0,310.0,401.0,108.0,22.0,700.0,1141.0,371.0,441.0,1312.0,555.0,1175.0,5115.0,3299.0,3694.0,7473.0,2577.0,8552.0,7114.0,4348.0,3858.0,1317.0,4264.0,3582.0,1957.0,3615.0,1260.0,4288.0,3532.0,2391.0,17678.0,4733.0
33130,1,1,33325.0,16423.0,18727.0,7323.0,17118.0,16207.0,26083.0,27458.0,1660.0,138.0,668.0,4.0,6338.0,23356.0,385.0,1400.0,180.0,12055.0,9139.0,2527.0,3289.0,1338.0,7088.0,5305.0,2040.0,1140.0,547.0,190.0,113.0,3051.0,1849.0,1513.0,1564.0,2284.0,1628.0,1246.0,750.0,968.0,619.0,668.0,283.0,5527.0,2961.0,266.0,207.0,478.0,1649.0,824.0,106.0,528.0,1778.0,531.0,10.0,1277.0,963.0,237.0,338.0,791.0,86.0,2558.0,1586.0,561.0,352.0,1358.0,425.0,953.0,10016.0,3630.0,3950.0,5866.0,2012.0,11688.0,8502.0,5257.0,3002.0,1011.0,6281.0,4498.0,2326.0,2864.0,1001.0,5407.0,4004.0,2931.0,16059.0,5847.0
33131,1,1,23581.0,13480.0,18175.0,4738.0,12137.0,11444.0,12992.0,19934.0,959.0,53.0,1055.0,4.0,7714.0,11535.0,423.0,2609.0,203.0,8957.0,7422.0,1167.0,2356.0,542.0,6750.0,4555.0,1359.0,558.0,191.0,52.0,15.0,948.0,468.0,446.0,820.0,1524.0,1690.0,1694.0,1451.0,1403.0,910.0,1277.0,849.0,6679.0,4594.0,649.0,233.0,634.0,154.0,1847.0,159.0,495.0,329.0,582.0,4.0,709.0,928.0,67.0,49.0,967.0,124.0,4086.0,1068.0,185.0,63.0,2220.0,377.0,425.0,13343.0,988.0,1374.0,3622.0,1161.0,10517.0,6049.0,2232.0,1793.0,527.0,5542.0,3208.0,1067.0,1829.0,634.0,4975.0,2841.0,1165.0,2377.0,4956.0
33133,1,1,33571.0,14970.0,17174.0,8297.0,16342.0,17229.0,19433.0,28124.0,3257.0,36.0,510.0,21.0,12026.0,17380.0,204.0,2070.0,216.0,8564.0,12440.0,1437.0,3956.0,1841.0,5216.0,5002.0,2300.0,1501.0,605.0,231.0,115.0,1409.0,913.0,1019.0,1265.0,1818.0,1431.0,1182.0,1073.0,1240.0,895.0,1395.0,1330.0,7140.0,3914.0,614.0,319.0,543.0,584.0,1081.0,340.0,296.0,552.0,990.0,34.0,832.0,995.0,254.0,260.0,821.0,247.0,3225.0,1549.0,209.0,310.0,2051.0,551.0,853.0,12457.0,1874.0,2565.0,6344.0,1950.0,8845.0,9574.0,6858.0,3272.0,987.0,4445.0,4672.0,2966.0,3072.0,963.0,4400.0,4902.0,3892.0,8910.0,6846.0
33134,1,1,40250.0,16986.0,18906.0,10114.0,18911.0,21339.0,32632.0,37077.0,859.0,46.0,566.0,5.0,7362.0,29559.0,292.0,1204.0,71.0,9756.0,15322.0,2648.0,4431.0,2546.0,5355.0,5529.0,2870.0,1948.0,757.0,303.0,224.0,1513.0,1537.0,1204.0,1559.0,2321.0,2087.0,1405.0,1115.0,1579.0,961.0,1148.0,557.0,8209.0,4070.0,848.0,304.0,874.0,981.0,1461.0,305.0,341.0,1057.0,1345.0,28.0,991.0,1340.0,391.0,492.0,757.0,238.0,3051.0,2122.0,516.0,313.0,2627.0,531.0,1258.0,14765.0,3323.0,3235.0,6732.0,2450.0,9909.0,11954.0,9205.0,3427.0,1218.0,4794.0,5811.0,3661.0,3305.0,1232.0,5115.0,6143.0,5544.0,13047.0,8359.0
33135,1,1,37875.0,14650.0,15803.0,9052.0,18803.0,19072.0,35940.0,33285.0,1488.0,86.0,263.0,3.0,2513.0,33269.0,164.0,120.0,5.0,12405.0,9894.0,2792.0,4274.0,2802.0,4343.0,4162.0,2650.0,1811.0,928.0,428.0,328.0,2721.0,2721.0,2196.0,2360.0,2071.0,1106.0,603.0,236.0,306.0,169.0,114.0,47.0,4003.0,970.0,125.0,75.0,256.0,2320.0,547.0,345.0,173.0,2613.0,446.0,127.0,1319.0,380.0,592.0,785.0,89.0,30.0,869.0,1387.0,521.0,389.0,1780.0,450.0,1719.0,6377.0,5638.0,5197.0,6799.0,2255.0,9676.0,10696.0,8449.0,3457.0,1152.0,5186.0,5494.0,3514.0,3342.0,1103.0,4490.0,5202.0,4935.0,26901.0,5204.0
33136,1,1,14729.0,5582.0,6667.0,2923.0,7137.0,7592.0,7002.0,6381.0,6575.0,105.0,202.0,9.0,6446.0,6234.0,35.0,860.0,45.0,5941.0,2512.0,1201.0,1359.0,685.0,2055.0,1511.0,856.0,574.0,300.0,168.0,118.0,1403.0,804.0,593.0,805.0,841.0,367.0,232.0,180.0,167.0,73.0,81.0,36.0,1372.0,519.0,78.0,57.0,149.0,699.0,270.0,69.0,134.0,666.0,160.0,11.0,714.0,249.0,127.0,183.0,62.0,54.0,513.0,649.0,125.0,125.0,576.0,193.0,726.0,2942.0,1700.0,1869.0,3563.0,1137.0,4334.0,3524.0,2171.0,1769.0,517.0,2163.0,1762.0,926.0,1794.0,620.0,2171.0,1762.0,1245.0,7927.0,2615.0
33137,1,1,24321.0,11240.0,13437.0,4921.0,12542.0,11779.0,13820.0,16895.0,4263.0,90.0,622.0,9.0,7009.0,12302.0,230.0,3286.0,283.0,9276.0,5694.0,2026.0,2947.0,727.0,4502.0,3718.0,1544.0,814.0,384.0,165.0,113.0,1192.0,631.0,710.0,1189.0,2127.0,1462.0,1166.0,740.0,757.0,426.0,519.0,321.0,5406.0,2112.0,292.0,174.0,805.0,674.0,1134.0,219.0,290.0,758.0,365.0,5.0,1219.0,848.0,287.0,99.0,497.0,120.0,2022.0,1040.0,92.0,265.0,2092.0,550.0,678.0,9606.0,1627.0,3000.0,4335.0,1333.0,8766.0,6483.0,3404.0,2193.0,668.0,4623.0,3549.0,1509.0,2142.0,665.0,4143.0,2934.0,1895.0,7792.0,5319.0
33138,1,1,29710.0,12566.0,14301.0,6644.0,15096.0,14614.0,11779.0,16908.0,10025.0,86.0,496.0,12.0,10368.0,10553.0,316.0,6579.0,165.0,10096.0,9107.0,1530.0,2511.0,1199.0,4617.0,3662.0,1871.0,1285.0,636.0,265.0,230.0,1868.0,1094.0,992.0,1313.0,1902.0,1119.0,944.0,738.0,919.0,522.0,733.0,422.0,4761.0,2226.0,345.0,171.0,822.0,995.0,685.0,237.0,301.0,493.0,769.0,67.0,1225.0,773.0,676.0,242.0,403.0,72.0,2282.0,1131.0,467.0,393.0,2109.0,501.0,845.0,9755.0,2047.0,3857.0,6279.0,2167.0,7244.0,8369.0,5651.0,3191.0,1046.0,3711.0,4503.0,2645.0,3088.0,1121.0,3533.0,3866.0,3006.0,11433.0,5824.0
